district_id,lb_code,lb_name_english,lb_type_csn,lb_type,district_name,lb_name_full
1,G010806,Vilavoorkkal,1,Grama Panchayat,Thiruvananthapuram District ,"Vilavoorkkal Grama Panchayat, Thiruvananthapuram District "
1,G010807,Kalliyoor,1,Grama Panchayat,Thiruvananthapuram District ,"Kalliyoor Grama Panchayat, Thiruvananthapuram District "
1,G010901,Perumkadavila,1,Grama Panchayat,Thiruvananthapuram District ,"Perumkadavila Grama Panchayat, Thiruvananthapuram District "
1,G010902,Kollayil,1,Grama Panchayat,Thiruvananthapuram District ,"Kollayil Grama Panchayat, Thiruvananthapuram District "
1,G010903,Ottasekharamangalam,1,Grama Panchayat,Thiruvananthapuram District ,"Ottasekharamangalam Grama Panchayat, Thiruvananthapuram District "
1,G010904,Aryancode,1,Grama Panchayat,Thiruvananthapuram District ,"Aryancode Grama Panchayat, Thiruvananthapuram District "
1,G010905,Kallikkadu,1,Grama Panchayat,Thiruvananthapuram District ,"Kallikkadu Grama Panchayat, Thiruvananthapuram District "
1,G010906,Kunnathukal,1,Grama Panchayat,Thiruvananthapuram District ,"Kunnathukal Grama Panchayat, Thiruvananthapuram District "
1,G010907,Vellarada,1,Grama Panchayat,Thiruvananthapuram District ,"Vellarada Grama Panchayat, Thiruvananthapuram District "
1,G010908,Amboori,1,Grama Panchayat,Thiruvananthapuram District ,"Amboori Grama Panchayat, Thiruvananthapuram District "
1,G011001,Athiyannoor,1,Grama Panchayat,Thiruvananthapuram District ,"Athiyannoor Grama Panchayat, Thiruvananthapuram District "
1,G011002,Kanjiramkulam,1,Grama Panchayat,Thiruvananthapuram District ,"Kanjiramkulam Grama Panchayat, Thiruvananthapuram District "
1,G011003,Karumkulam,1,Grama Panchayat,Thiruvananthapuram District ,"Karumkulam Grama Panchayat, Thiruvananthapuram District "
1,G011004,Kottukal,1,Grama Panchayat,Thiruvananthapuram District ,"Kottukal Grama Panchayat, Thiruvananthapuram District "
1,G011005,Venganoor,1,Grama Panchayat,Thiruvananthapuram District ,"Venganoor Grama Panchayat, Thiruvananthapuram District "
1,G011101,Chenkal,1,Grama Panchayat,Thiruvananthapuram District ,"Chenkal Grama Panchayat, Thiruvananthapuram District "
1,G011102,Karode,1,Grama Panchayat,Thiruvananthapuram District ,"Karode Grama Panchayat, Thiruvananthapuram District "
1,G011103,Kulathoor,1,Grama Panchayat,Thiruvananthapuram District ,"Kulathoor Grama Panchayat, Thiruvananthapuram District "
1,G011104,Parassala,1,Grama Panchayat,Thiruvananthapuram District ,"Parassala Grama Panchayat, Thiruvananthapuram District "
1,G011105,thirupuram,1,Grama Panchayat,Thiruvananthapuram District ,"thirupuram Grama Panchayat, Thiruvananthapuram District "
1,G011106,Poovar,1,Grama Panchayat,Thiruvananthapuram District ,"Poovar Grama Panchayat, Thiruvananthapuram District "
2,G020101,Oachira,1,Grama Panchayat,Kollam District ,"Oachira Grama Panchayat, Kollam District "
2,G020102,Kulasekharapuram,1,Grama Panchayat,Kollam District ,"Kulasekharapuram Grama Panchayat, Kollam District "
2,G020103,Clappana,1,Grama Panchayat,Kollam District ,"Clappana Grama Panchayat, Kollam District "
2,G020104,Thazhava,1,Grama Panchayat,Kollam District ,"Thazhava Grama Panchayat, Kollam District "
2,G020207,Mynagappally,1,Grama Panchayat,Kollam District ,"Mynagappally Grama Panchayat, Kollam District "
2,G020105,Alappad,1,Grama Panchayat,Kollam District ,"Alappad Grama Panchayat, Kollam District "
2,G020106,Thodiyoor,1,Grama Panchayat,Kollam District ,"Thodiyoor Grama Panchayat, Kollam District "
2,G020201,Sasthamcotta,1,Grama Panchayat,Kollam District ,"Sasthamcotta Grama Panchayat, Kollam District "
2,G020202,West Kallada,1,Grama Panchayat,Kollam District ,"West Kallada Grama Panchayat, Kollam District "
2,G020203,Sooranad South,1,Grama Panchayat,Kollam District ,"Sooranad South Grama Panchayat, Kollam District "
2,G020204,Poruvazhy,1,Grama Panchayat,Kollam District ,"Poruvazhy Grama Panchayat, Kollam District "
2,G020205,Kunnathur,1,Grama Panchayat,Kollam District ,"Kunnathur Grama Panchayat, Kollam District "
2,G020206,Sooranad North,1,Grama Panchayat,Kollam District ,"Sooranad North Grama Panchayat, Kollam District "
2,G020301,Ummannur,1,Grama Panchayat,Kollam District ,"Ummannur Grama Panchayat, Kollam District "
2,G020302,Vettikkavala,1,Grama Panchayat,Kollam District ,"Vettikkavala Grama Panchayat, Kollam District "
2,G020303,Melila,1,Grama Panchayat,Kollam District ,"Melila Grama Panchayat, Kollam District "
2,G020304,Mylam,1,Grama Panchayat,Kollam District ,"Mylam Grama Panchayat, Kollam District "
2,G020305,Kulakkada,1,Grama Panchayat,Kollam District ,"Kulakkada Grama Panchayat, Kollam District "
2,G020306,Pavithreswaram,1,Grama Panchayat,Kollam District ,"Pavithreswaram Grama Panchayat, Kollam District "
2,G020401,Vilakudy,1,Grama Panchayat,Kollam District ,"Vilakudy Grama Panchayat, Kollam District "
2,G020402,Thalavoor,1,Grama Panchayat,Kollam District ,"Thalavoor Grama Panchayat, Kollam District "
2,G020403,Piravanthur,1,Grama Panchayat,Kollam District ,"Piravanthur Grama Panchayat, Kollam District "
2,G020404,Pattazhi Vadakkekara,1,Grama Panchayat,Kollam District ,"Pattazhi Vadakkekara Grama Panchayat, Kollam District "
2,G020405,Pattazhi,1,Grama Panchayat,Kollam District ,"Pattazhi Grama Panchayat, Kollam District "
2,G020406,Pathanapuram,1,Grama Panchayat,Kollam District ,"Pathanapuram Grama Panchayat, Kollam District "
2,G020501,Kulathupuzha,1,Grama Panchayat,Kollam District ,"Kulathupuzha Grama Panchayat, Kollam District "
2,G020502,Yeroor,1,Grama Panchayat,Kollam District ,"Yeroor Grama Panchayat, Kollam District "
2,G020503,Alayamon,1,Grama Panchayat,Kollam District ,"Alayamon Grama Panchayat, Kollam District "
2,G020504,Anchal,1,Grama Panchayat,Kollam District ,"Anchal Grama Panchayat, Kollam District "
2,G020505,Edamulakkal,1,Grama Panchayat,Kollam District ,"Edamulakkal Grama Panchayat, Kollam District "
2,G020506,Karavaloor,1,Grama Panchayat,Kollam District ,"Karavaloor Grama Panchayat, Kollam District "
2,G020507,Thenmala,1,Grama Panchayat,Kollam District ,"Thenmala Grama Panchayat, Kollam District "
2,G020508,Ariencavu,1,Grama Panchayat,Kollam District ,"Ariencavu Grama Panchayat, Kollam District "
2,G020601,Veliyam,1,Grama Panchayat,Kollam District ,"Veliyam Grama Panchayat, Kollam District "
2,G020602,Pooyappally,1,Grama Panchayat,Kollam District ,"Pooyappally Grama Panchayat, Kollam District "
2,G020603,Kareepra,1,Grama Panchayat,Kollam District ,"Kareepra Grama Panchayat, Kollam District "
2,G020604,Ezhukone,1,Grama Panchayat,Kollam District ,"Ezhukone Grama Panchayat, Kollam District "
2,G020605,Neduvathur,1,Grama Panchayat,Kollam District ,"Neduvathur Grama Panchayat, Kollam District "
2,G020701,Perinad,1,Grama Panchayat,Kollam District ,"Perinad Grama Panchayat, Kollam District "
2,G020702,Kundara,1,Grama Panchayat,Kollam District ,"Kundara Grama Panchayat, Kollam District "
2,G020703,Kizhakkekallada,1,Grama Panchayat,Kollam District ,"Kizhakkekallada Grama Panchayat, Kollam District "
2,G020704,Perayam,1,Grama Panchayat,Kollam District ,"Perayam Grama Panchayat, Kollam District "
2,G020705,Muntrothuruthu,1,Grama Panchayat,Kollam District ,"Muntrothuruthu Grama Panchayat, Kollam District "
2,G020706,Panayam,1,Grama Panchayat,Kollam District ,"Panayam Grama Panchayat, Kollam District "
2,G020801,Thekkumbhagom,1,Grama Panchayat,Kollam District ,"Thekkumbhagom Grama Panchayat, Kollam District "
2,G020802,Chavara,1,Grama Panchayat,Kollam District ,"Chavara Grama Panchayat, Kollam District "
2,G020803,Thevalakkara,1,Grama Panchayat,Kollam District ,"Thevalakkara Grama Panchayat, Kollam District "
2,G020804,Panmana,1,Grama Panchayat,Kollam District ,"Panmana Grama Panchayat, Kollam District "
2,G020805,Neendakara,1,Grama Panchayat,Kollam District ,"Neendakara Grama Panchayat, Kollam District "
2,G020708,Thrikkaruva,1,Grama Panchayat,Kollam District ,"Thrikkaruva Grama Panchayat, Kollam District "
2,G020901,Mayyanad,1,Grama Panchayat,Kollam District ,"Mayyanad Grama Panchayat, Kollam District "
